evidence_id,source_id,doi,taxon,lineage_id,analysis_group,group_confidence,comparison_id,comparison_units,trait_id,trait_family,reported_direction,numeric_status,value,value_unit,n,variance,pollinator_regime,geographic_mapping_status,source_locator,verification_status,scoring_status,claim,notes
ligustrum-2014-corolla-izu,ligustrum_yamada_2014,10.1111/boj.12092,Ligustrum ovalifolium,ligustrum_ovalifolium,generalist,medium,mainland_honshu_vs_izu_islands,mainland Honshu versus Izu Islands as defined in the paper,corolla_tube_length,floral_size,decrease,qualitative_only,,,,,,unmapped_source_native,publisher abstract; full article table/location map not yet transcribed,publisher_abstract_verified,not_scoreable,The publisher abstract reports shorter corolla tubes in Izu than mainland populations.,Do not map this source-native contrast to a first or second pollinator transition until the named island/locality table is transcribed.
ligustrum-2014-stamen-izu,ligustrum_yamada_2014,10.1111/boj.12092,Ligustrum ovalifolium,ligustrum_ovalifolium,generalist,medium,mainland_honshu_vs_izu_islands,mainland Honshu versus Izu Islands as defined in the paper,stamen_length,floral_size,decrease,qualitative_only,,,,,,unmapped_source_native,publisher abstract; full article table/location map not yet transcribed,publisher_abstract_verified,not_scoreable,The publisher abstract reports shorter stamens in Izu than mainland populations.,Do not map this source-native contrast to a first or second pollinator transition until the named island/locality table is transcribed.
ligustrum-2014-hachijo-shortening,ligustrum_yamada_2014,10.1111/boj.12092,Ligustrum ovalifolium,ligustrum_ovalifolium,generalist,medium,other_izu_vs_hachijo,other Izu populations versus Hachijo as defined in the paper,floral_shortening_intensity,floral_size,decrease,qualitative_only,,,,,,needs_locality_table,publisher abstract; full article table/location map not yet transcribed,publisher_abstract_verified,not_scoreable,The publisher abstract reports that floral shortening was stronger on Hachijo.,The sign is recorded relative to the source contrast only; it is not treated as a numeric effect size.
ligustrum-2014-hachijo-pollinators,ligustrum_yamada_2014,10.1111/boj.12092,Ligustrum ovalifolium,ligustrum_ovalifolium,generalist,medium,other_izu_vs_hachijo,other Izu populations versus Hachijo as defined in the paper,pollinator_fauna,pollinator_context,non_directional_difference,qualitative_only,,,,,,needs_locality_table,publisher abstract; full article table/location map not yet transcribed,publisher_abstract_verified,not_scoreable,The publisher abstract reports Hachijo pollinator fauna differed significantly from other Izu and mainland Honshu.,Contextual evidence only; no photo score or pollinator effectiveness is imputed.
weigela-2010-corolla-distance,weigela_yamada_2010,10.1007/s00606-010-0317-y,Weigela coraeensis,weigela_coraeensis,specialist,medium,mainland_izu_distance,mainland var. coraeensis versus Izu var. fragrans populations; exact locality units pending original table,corolla_length,floral_size,decrease_with_distance,qualitative_only,,,,,,needs_locality_table,publisher/CiNii abstract; full article table and locality map required,publisher_abstract_verified,not_scoreable,The abstract reports smaller Izu corollas and a gradual decrease in corolla length with distance from the mainland.,Qualitative response-shape evidence only; do not assign exact regimes or a numeric effect until population-level values and locality mapping are recovered.
weigela-2010-scent-no-difference,weigela_yamada_2010,10.1007/s00606-010-0317-y,Weigela coraeensis,weigela_coraeensis,specialist,medium,mainland_variety_vs_izu_variety,mainland var. coraeensis versus Izu var. fragrans,floral_scent_profile,olfactory_signal,no_reported_difference,qualitative_only,,,,,,unmapped_source_native,publisher/CiNii abstract; full article table required,publisher_abstract_verified,not_scoreable,The abstract reports thirteen volatile compounds but no difference in floral scents between the mainland and Izu varieties.,This is a source-native negative channel and must not be converted to equivalence without an uncertainty-based margin.
weigela-2010-pollinator-context,weigela_yamada_2010,10.1007/s00606-010-0317-y,Weigela coraeensis,weigela_coraeensis,specialist,medium,mainland_vs_izu_pollinator_context,mainland var. coraeensis versus Izu var. fragrans populations,flower_visitor_composition,pollinator_context,source_suggested_difference,qualitative_only,,,,,,needs_locality_table,publisher/CiNii abstract; full visitor table required,publisher_abstract_verified,not_scoreable,The authors suggest that pollinator fauna peculiar to the Izu Islands influenced morphological differentiation.,Contextual mechanism statement only; visitor composition is not pollinator effectiveness and no causal effect is scored.
hosta-2014-corolla-southern,hosta_yamada_2014,10.1111/1442-1984.12002,Hosta longipes,hosta_longipes,uncertain,unresolved_dependency,honshu_northern_izu_vs_southern_izu,Honshu and northern Izu versus southern Izu as defined in the paper; exact populations pending Table 1/Appendix S1,corolla_length,floral_size,decrease_southern_izu,qualitative_only,,,,,,needs_locality_table,publisher abstract and supporting-information metadata; Table 1/Appendix S1 required,publisher_abstract_verified,not_scoreable,The primary abstract reports shorter corollas in southern Izu populations than in Honshu and northern Izu populations.,Do not translate southern Izu into the Oshima-Toshima second boundary; exact localities and dependency class remain unresolved.
hosta-2014-other-floral-complex,hosta_yamada_2014,10.1111/1442-1984.12002,Hosta longipes,hosta_longipes,uncertain,unresolved_dependency,multiregional_floral_morphology,Honshu and Izu populations as defined in the paper; exact population matrix pending supporting files,floral_morphology_multivariate,floral_shape,complex_nonmonotonic,qualitative_only,,,,,,needs_locality_table,publisher abstract and supporting-information metadata; morphology tables required,publisher_abstract_verified,not_scoreable,The primary abstract reports complicated geographical variation in floral parts other than corolla length rather than one simple monotonic response.,Retain this as heterogeneity/falsification evidence; do not collapse the multivariate pattern into one cline or threshold.
hosta-2014-pollinator-context,hosta_yamada_2014,10.1111/1442-1984.12002,Hosta longipes,hosta_longipes,uncertain,unresolved_dependency,honshu_vs_izu_pollinator_fauna,Honshu and Izu pollinator samples as defined in the paper; exact identities/effort pending supporting table,pollinator_fauna,pollinator_context,more_variable_izu,qualitative_only,,,,,,needs_locality_table,publisher abstract and supporting-information metadata; pollinator table required,publisher_abstract_verified,not_scoreable,The primary abstract reports greater geographical variation in pollinator fauna among Izu populations than in Honshu.,Dependency class and pollinator effectiveness remain unresolved; do not classify Hosta from floral form alone.
goodyera-2024-hybrid-replacement,goodyera_suetsugu_2024,10.1111/nph.19325,Goodyera henryi; Goodyera similis,goodyera_hybrid_replacement,excluded,source_native_hybrid_replacement,mainland_vs_kozu_henryi_identity,"mainland G. henryi versus Kozu specimens initially identified as G. henryi",taxon_identity,hybrid_replacement,pure_henryi_absent_on_kozu,qualitative_only,,,,,no_effective_bombus,mapped_explicit,"New Phytologist 241:1321-1333; Summary and genetic/morphological Results",primary_source_verified,excluded_comparator,"The study concludes that all Kozu specimens initially identified as G. henryi are G. henryi × G. similis hybrids and that pure G. henryi was not found on Kozu.","This is a lineage-replacement/species-boundary response, not a within-lineage floral effect. Keep it outside the quantitative specialist holdout."
goodyera-2024-mainland-bombus,goodyera_suetsugu_2024,10.1111/nph.19325,Goodyera henryi,goodyera_henryi_mainland,excluded,source_native_interaction_context,mainland_henryi_pollinator,"mainland G. henryi populations",effective_pollinator_guild,pollinator_context,bombus_diversus_specialization,qualitative_only,,,,,large_bombus,mapped_explicit,"New Phytologist 241:1321-1333; pollination Results and Discussion",primary_source_verified,excluded_comparator,"The study reports mainland G. henryi as exclusively pollinated by Bombus diversus in the focal pollination observations.","Visitor identity is retained as interaction context; the reported observation count is not converted into a pollinator-effectiveness effect size."
goodyera-2024-kozu-rewiring,goodyera_suetsugu_2024,10.1111/nph.19325,Goodyera henryi × Goodyera similis,goodyera_hybrid_replacement,excluded,source_native_hybrid_replacement,kozu_hybrid_pollinator,"Kozu hybrid plants versus the mainland G. henryi interaction",effective_pollinator_guild,interaction_rewiring,shift_to_scoliid_wasp,qualitative_only,,,,,no_effective_bombus,mapped_explicit,"New Phytologist 241:1321-1333; pollination Results and Discussion",primary_source_verified,excluded_comparator,"Kozu hybrids were pollinated by the scoliid wasp also recorded as a pollinator of G. similis, rather than retaining the mainland G. henryi Bombus interaction.","This supports alternative-guild rewiring conditional on hybrid replacement; it is not evidence that pure G. henryi evolved a generalized pollination system on Kozu."
clerodendrum-2012-excluded,clerodendrum_mizusawa_2012,10.1111/j.1442-1984.2012.00385.x,Clerodendrum izuinsulare,clerodendrum_izuinsulare,excluded,source_native_between_taxa,between_taxa,insular C. izuinsulare versus widespread congener C. trichotomum,pollination_comparison,excluded,not_applicable,not_extracted,,,,,,unmapped_source_native,title/abstract scope review,metadata_verified,excluded_comparator,Comparison is between distinct taxa rather than within-species mainland/island populations.,Retained as contextual natural-history evidence only; excluded from within-lineage prediction meta-analysis.
lilium-2018-design-confound,lilium_nakajima_2018,10.1111/1442-1984.12222,Lilium auratum,lilium_auratum_varieties,excluded,source_native_intervarietal,intervarietal_island_mainland,var. platyphyllum on Izu-Oshima/Aogashima versus var. auratum in Hachioji/Ranzan,variety_geography_confound,study_design,not_applicable,not_extracted,,,,,,unmapped_source_native,"pp. 278-279, Plant materials and study sites",full_text_verified,excluded_comparator,"Island and mainland observations are different botanical varieties, with variety identity inseparable from geography.",Alternative-pollinator mechanism context; Exclude from the primary within-lineage Bombus holdout; retain as an alternative-pollinator mechanism source.
lilium-2018-scent-timing,lilium_nakajima_2018,10.1111/1442-1984.12222,Lilium auratum,lilium_auratum_varieties,excluded,source_native_intervarietal,island_vs_mainland_scent_timing,island var. platyphyllum versus mainland var. auratum,floral_scent_timing,olfactory_signal,shift_to_evening_and_night,qualitative_only,,,,,,unmapped_source_native,"p. 281, Fig. 6 and Results",full_text_verified,excluded_comparator,"Island-variety scent rose in the evening and at night, whereas the mainland variety was low by day and highest at night.",Alternative-pollinator mechanism context; Relative odor-sensor time series; not a cross-study absolute scent effect size and not a Bombus-linked visible-signal test.
lilium-2018-nectar-schedule,lilium_nakajima_2018,10.1111/1442-1984.12222,Lilium auratum,lilium_auratum_varieties,excluded,source_native_intervarietal,island_vs_mainland_nectar_schedule,Izu-Oshima var. platyphyllum versus Ranzan var. auratum,nectar_secretion_timing,reward_schedule,evening_night_peak,qualitative_only,,,,,,unmapped_source_native,"pp. 282-284, Table 1 and Fig. 7",full_text_verified,excluded_comparator,The island variety showed a strong nocturnal nectar-volume pattern; the mainland variety changed less and had a lower reported maximum.,Alternative-pollinator mechanism context; Small unreplicated site-by-variety samples; maxima are not an inferential effect size.
lilium-2018-pollinator-guild,lilium_nakajima_2018,10.1111/1442-1984.12222,Lilium auratum,lilium_auratum_varieties,excluded,source_native_intervarietal,island_vs_mainland_pollinator_guild,Izu-Oshima/Aogashima versus Hachioji/Ranzan,effective_pollinator_guild,pollinator_context,guild_shift,qualitative_only,,,,,,unmapped_source_native,"pp. 283-287, Table 2, Fig. 9 and Discussion",full_text_verified,excluded_comparator,"The authors infer island var. platyphyllum is more dependent on crepuscular/nocturnal hawkmoths, whereas mainland var. auratum uses both diurnal swallowtails and nocturnal large hawkmoths.",Alternative-pollinator mechanism context; This is a Lepidoptera-guild mechanism and must not be treated as staged Bombus-loss evidence.
lilium-2018-nocturnal-seed-set,lilium_nakajima_2018,10.1111/1442-1984.12222,Lilium auratum,lilium_auratum_varieties,excluded,source_native_intervarietal,oshima_day_vs_night_exclusion,var. platyphyllum on Izu-Oshima,seed_set_by_daypart,reproductive_effectiveness,increase_at_night,qualitative_only,,,,,,unmapped_source_native,"pp. 285-287, Fig. 12 and Discussion",full_text_verified,excluded_comparator,Nocturnally pollinated flowers had higher seed set than diurnally pollinated flowers (p<0.01).,Alternative-pollinator mechanism context; Direct evidence for nocturnal visitor effectiveness on Oshima; no mainland matched exclusion experiment in this paper.
lilium-2018-self-incompatibility,lilium_nakajima_2018,10.1111/1442-1984.12222,Lilium auratum,lilium_auratum_varieties,excluded,source_native_intervarietal,both_varieties_hand_pollination,Izu-Oshima/Aogashima var. platyphyllum and Hachioji var. auratum,self_pollination_success,breeding_system,decrease_under_selfing,qualitative_only,,,,,,unmapped_source_native,"pp. 280-281, Fig. 4 and Results",full_text_verified,excluded_comparator,Fruit and seed set after self-pollination were lower than after outcrossing in all examined populations; the authors interpret both varieties as self-incompatible.,"Alternative-pollinator mechanism context; This is pollinator dependence, not realized outcrossing rate and not evidence of a second-step autonomous-assurance increase."
