island,observed_nestedness,ais_prediction_mean,ais_prediction_low_95,ais_prediction_high_95,ais_residual,ais_absolute_error,ais_interval_covers_observed,null_prediction_mean,null_prediction_low_95,null_prediction_high_95,null_residual,null_absolute_error,null_interval_covers_observed,absolute_error_improvement_null_minus_ais,ais_lower_absolute_error
Española,0.082,0.116,0.07100000000000001,0.161,-0.034,0.034,True,0.073,0.032999999999999995,0.11299999999999999,0.009000000000000008,0.009000000000000008,True,-0.024999999999999994,False
Fernandina,0.092,0.109,0.094,0.124,-0.017,0.017,False,0.213,0.16799999999999998,0.258,-0.121,0.121,False,0.104,True
Floreana,0.0,0.081,0.0030000000000000027,0.159,-0.081,0.081,False,0.029,-0.04000000000000001,0.098,-0.029,0.029,True,-0.052000000000000005,False
Genovesa,0.053,0.074,0.056999999999999995,0.091,-0.020999999999999998,0.020999999999999998,False,0.057,0.034,0.08,-0.0040000000000000036,0.0040000000000000036,True,-0.016999999999999994,False
Isabela,0.163,0.109,0.046,0.172,0.054000000000000006,0.054000000000000006,True,0.143,0.08499999999999999,0.20099999999999998,0.020000000000000018,0.020000000000000018,True,-0.03399999999999999,False
Marchena,0.05,0.074,0.026999999999999996,0.121,-0.023999999999999994,0.023999999999999994,True,0.05,0.013000000000000005,0.087,0.0,0.0,True,-0.023999999999999994,False
Pinta,0.104,0.091,0.074,0.108,0.012999999999999998,0.012999999999999998,True,0.147,0.121,0.173,-0.043,0.043,False,0.03,True
San Cristóbal,0.182,0.158,0.14300000000000002,0.173,0.023999999999999994,0.023999999999999994,False,0.174,0.156,0.19199999999999998,0.008000000000000007,0.008000000000000007,True,-0.015999999999999986,False
Santa Cruz,0.16,0.16,0.14,0.18,0.0,0.0,True,0.223,0.196,0.25,-0.063,0.063,False,0.063,True
Santiago,0.133,0.133,0.11900000000000001,0.14700000000000002,0.0,0.0,True,0.203,0.17400000000000002,0.232,-0.07,0.07,False,0.07,True
