model,n,observed_lr_slope,observed_log_island_on_log_mainland_slope,observed_coupling_ci_low,observed_coupling_ci_high,point_negative_requires_reliability_gt,ci_entirely_negative_requires_reliability_gt,assumed_mainland_log_size_reliability,implied_true_lr_slope,implied_true_lr_ci_low,implied_true_lr_ci_high,point_remains_negative,interval_entirely_negative,row_role,causal_claim_allowed
animal_source_coded,88,-0.15099471189271235,0.8490052881072877,0.7005415130113272,0.9258992384647143,0.8490052881072877,0.9258992384647143,1.0,-0.1509947118927123,-0.29945848698867283,-0.07410076153528566,True,True,classical_measurement_error_sensitivity_not_correction,no
animal_source_coded,88,-0.15099471189271235,0.8490052881072877,0.7005415130113272,0.9258992384647143,0.8490052881072877,0.9258992384647143,0.975,-0.12922534553098697,-0.2814958840909465,-0.05035975542080584,True,True,classical_measurement_error_sensitivity_not_correction,no
animal_source_coded,88,-0.15099471189271235,0.8490052881072877,0.7005415130113272,0.9258992384647143,0.8490052881072877,0.9258992384647143,0.95,-0.1063102230449603,-0.2625878810407082,-0.025369222668721658,True,True,classical_measurement_error_sensitivity_not_correction,no
animal_source_coded,88,-0.15099471189271235,0.8490052881072877,0.7005415130113272,0.9258992384647143,0.8490052881072877,0.9258992384647143,0.925,-0.08215644528941879,-0.24265782377153822,0.0009721496915831018,True,False,classical_measurement_error_sensitivity_not_correction,no
animal_source_coded,88,-0.15099471189271235,0.8490052881072877,0.7005415130113272,0.9258992384647143,0.8490052881072877,0.9258992384647143,0.9,-0.056660790991902577,-0.22162054109852536,0.028776931627460423,True,False,classical_measurement_error_sensitivity_not_correction,no
animal_source_coded,88,-0.15099471189271235,0.8490052881072877,0.7005415130113272,0.9258992384647143,0.8490052881072877,0.9258992384647143,0.85,-0.0011702492855438784,-0.1758335141043209,0.08929322172319343,True,False,classical_measurement_error_sensitivity_not_correction,no
animal_source_coded,88,-0.15099471189271235,0.8490052881072877,0.7005415130113272,0.9258992384647143,0.8490052881072877,0.9258992384647143,0.8,0.06125661013410966,-0.12432310873584107,0.15737404808089295,False,False,classical_measurement_error_sensitivity_not_correction,no
wind_source_coded,38,-0.07611432484743032,0.9238856751525697,0.85137732473438,1.1082510511604158,0.9238856751525697,1.1082510511604158,1.0,-0.0761143248474303,-0.14862267526562,0.10825105116041578,True,False,classical_measurement_error_sensitivity_not_correction,no
wind_source_coded,38,-0.07611432484743032,0.9238856751525697,0.85137732473438,1.1082510511604158,0.9238856751525697,1.1082510511604158,0.975,-0.052424948561466955,-0.12679248745191796,0.1366677447799136,True,False,classical_measurement_error_sensitivity_not_correction,no
wind_source_coded,38,-0.07611432484743032,0.9238856751525697,0.85137732473438,1.1082510511604158,0.9238856751525697,1.1082510511604158,0.95,-0.02748876299729497,-0.10381334238486317,0.1665800538530693,True,False,classical_measurement_error_sensitivity_not_correction,no
