group,status,n,ols_slope,ols_se,event_ci_low,event_ci_high,island_ci_low,island_ci_high,family_ci_low,family_ci_high,sma_slope,coupling_slope
primary/animal_source_coded,estimated,88,-0.1509947118927123,0.05859848386155344,-0.2785016454997544,-0.028937705391436554,-0.3040562773559898,-0.07251784059209347,-0.24833678997365197,-0.020758981447738082,-0.5640076965384593,0.8490052881072875
primary/wind_source_coded,estimated,38,-0.07611432484743035,0.07423758716046036,-0.2329347184603204,0.07448157103575272,-0.14875953757334207,0.11631431362580721,-0.3219090480686758,0.11961265283943745,-0.4518819391761859,0.9238856751525703
sensitivity/phylogenetic_evidence_only/animal,estimated,61,-0.1963414879082931,0.06989159214773746,-0.33329292150595763,-0.07404892980302785,-0.28209262725848305,-0.13501735506726878,-0.26679406322439664,-0.051138933764789,-0.5716250732760394,0.8036585120917067
sensitivity/phylogenetic_evidence_only/wind,estimated,22,-0.07824995901850465,0.11312531949996822,-0.35199786203294736,0.12899204208194756,-0.18248161765307366,0.06066592440621343,-0.5062014442387592,0.26946655582276324,-0.5119275479262622,0.9217500409814956
sensitivity/animal_flower_morphology/actinomorphic_fused_petals_1,estimated,30,-0.40289650706548386,0.11892198778194057,-0.5695974847605321,-0.14718348463444128,-0.6214454478157206,-0.13163359590567272,-0.6101778711879878,-0.0890747945952726,-0.7472040500357264,0.5971034929345159
sensitivity/animal_flower_morphology/actinomorphic_free_petals_2,estimated,56,-0.10844173204261007,0.07396987503104767,-0.2689195822569906,0.03714309519099775,-0.1689974720871566,-0.04747375346060808,-0.24073800806649057,0.08678523229941204,-0.5542769159024007,0.89155826795739
sensitivity/animal_flower_morphology/zygomorphic_3,blocked_n_too_small,2,,,,,,,,,,
sensitivity/animal_breeding_system/monomorphic_M,estimated,58,-0.11030902289009024,0.08610249986185181,-0.29564050822295357,0.06070659281777194,-0.30332144893673213,-0.027735011753163338,-0.28094731735055045,0.09139228479951762,-0.6537063159773947,0.8896909771099099
sensitivity/animal_breeding_system/dimorphic_D,estimated,27,-0.05403199061588669,0.10547952100257806,-0.281210931782977,0.11967617082225991,-0.2414329001427092,0.058266333967067964,-0.3463955578123018,0.16510667882834246,-0.5301581743057895,0.9459680093841132
sensitivity/animal_mainland_source/new_zealand_1,estimated,48,-0.22311963080326347,0.07170620754372797,-0.3733985562492792,-0.10212350334089916,-0.44412806526608806,-0.14128809397369274,-0.42163497133783395,-0.11406663961124834,-0.535074068577218,0.7768803691967364
sensitivity/animal_mainland_source/australia_2,estimated,40,-0.05557715966433094,0.09364068618044735,-0.25355684680774104,0.14788633613734828,-0.09985537959145462,-0.0117197425373372,-0.24588969790052168,0.23133846882956122,-0.5799092935912178,0.944422840335669
sensitivity/animal_taxonomic_degree/subspecies_0,estimated,9,0.011426891527672343,0.24416841318799087,-0.579081619209167,0.78133724427127,-0.4508661342492312,0.21962001391395908,-0.6006273650851565,0.7707580879181426,0.6461099533679817,1.0114268915276725
sensitivity/animal_taxonomic_degree/species_1,estimated,79,-0.1792947725330276,0.05863041431606895,-0.2941104304191974,-0.07084144341463444,-0.3475540504784626,-0.10858537596206326,-0.2825625485472998,-0.06629697113206015,-0.5448266491637137,0.8207052274669729
sensitivity/assign_unresolved_syndrome_to_animal/model,estimated,89,-0.1543901313961318,0.05752413723378202,-0.2758287259996676,-0.042467135546315316,-0.2936706217267432,-0.07911099918107761,-0.2485935752253001,-0.031517162653671695,-0.5583203438736858,0.845609868603868
